[setCountry, getClass, getCountry, getDeveloper, getTags, setItemCondition, setUserRecordType, setYourPrice, setNotes, setCreatedAt, getCreatedAt, getUserRecordType, getTitle, setCategory, getGame, getPriceCIB, getParameter, getBoxCondition, setPlatform, getReleaseType, getItemCondition, getCategory, setTitle, getManualCondition, getOwnership, getPriceLoose, setPublisher, getPriceNew, wait, notifyAll, getPricePaid, setTags, notify, getNotes, hashCode, setManualCondition, getGameExact, setPriceCIB, getYourPrice, setReleaseType, setOwnership, setPriceNew, getPublisher, setPriceLoose, equals, getParameters, setPricePaid, setDeveloper, toString, setBoxCondition, getPlatform]
"Sony PlayStation 3","Games","Owned","Bejeweled 3","United States of America","Official","PopCap Games Inc.","PopCap Games","Jan 25 2022","CIB","5.5","6.49","12.7","6.49","-1.0","10","10","10","",""
"Skylanders","ToysToLife","Owned","Big Bubble Pop Fizz","","","Missing Field","Missing Field","Feb 8 2022","New","-1.0","-1.0","-1.0","-1.0","-1.0","?","10","?","",""
"Sony PlayStation","Games","Owned","Bio FREAKS","United States of America","Official","Midway Games","Saffire Corporation","Jan 31 2022","CIB","6.58","12.88","27.53","12.88","-1.0","6","6","6","",""
"Microsoft Xbox One","Games","Owned","Bioshock: The Collection","United States of America","Official","2K","Irrational Games","Jan 25 2022","CIB","11.14","11.99","19.5","11.99","-1.0","10","10","10","",""
"Skylanders","ToysToLife","Owned","Birthday Bash Big Bubble Pop Fizz","","Official","Activision","Missing Field","Feb 8 2022","New","6.45","?","7.45","7.45","-1.0","?","10","?","",""
"Nintendo DS","Systems","Owned","Black Nintendo DS Lite","United States of America","Official","Nintendo","Nintendo","Nov 21 2021","CIB","43.93","82.14","184.39","82.14","-1.0","10","10","10","",""
"Sony PlayStation 3","Systems","Owned","Black PlayStation 3 Slim","United Kingdom","Official","Sony","Missing Field","Nov 20 2021","CIB","73.08","229.68","557.39","229.68","-1.0","10","10","10","",""
"Sony PlayStation 4","Games","Owned","Bloodborne","United States of America","Official","Sony Computer Entertainment","FromSoftware Inc.","Jan 25 2022","CIB","13.68","14.18","30.65","14.18","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Bomberman Online","United States of America","Official","Sega","h.a.n.d. Inc.","Jan 30 2022","CIB","43.04","56.5","93.5","56.5","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Borderlands 3 [Deluxe Edition]","United Kingdom","Official","2K Games","Gearbox Software","Jan 25 2022","CIB","-1.0","-1.0","-1.0","-1.0","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Brothers in Arms: Earned in Blood","United States of America","Official","Ubisoft","Gearbox","Mar 6 2024","CIB","6.28","7.83","19.01","7.83","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Brothers in Arms: Earned in Blood","United States of America","Official","Ubisoft","Gearbox","Mar 6 2024","CIB","6.28","7.83","19.01","7.83","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Brothers in Arms: Road to Hill 30","United States of America","Official","Ubisoft Entertainment","Gearbox","Mar 6 2024","CIB","5.44","7.1","20.5","7.1","-1.0","10","10","10","",""
"Nintendo GameCube","Games","Owned","Burnout","United States of America","Official","Acclaim Entertainment Inc.","Criterion Games","Jan 17 2022","CIB","9.19","11","80.5","11","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Burnout 2: Point of Impact","United States of America","Official","Acclaim Entertainment Inc.","Criterion Games","Jan 17 2022","CIB","8.63","12.41","62.51","12.41","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Burnout 3: Takedown","United States of America","Official","Electronic Arts","Criterion Games","Jan 18 2022","CIB","10.47","13.85","61.35","13.85","-1.0","10","10","10","",""
"Microsoft Xbox","Games","Owned","Burnout Revenge","United States of America","Official","Electronic Arts","Criterion Games","Jan 16 2022","CIB","7.84","9.1","40.49","9.1","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty 2","United States of America","Official","Activision","Infinity Ward","Jan 16 2022","CIB","9.49","10.49","34.99","10.49","-1.0","10","10","10","",""
"Microsoft Xbox","Games","Owned","Call of Duty 2: Big Red One","United States of America","Official","Activision","Treyarch","Jan 16 2022","CIB","6.58","7.5","52.49","7.5","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Call of Duty 3","United States of America","Official","Activision","Treyarch","Jan 16 2022","CIB","8","8","45.05","8","-1.0","10","10","10","",""
